D2 - I-35 MM 160 near Dows - Live View (8),42.678337,-93.45471
MUS - US 61 @ MM 79 (IWZ 3171),41.34428,-91.192738
OSC - I-35 @ IA 207 (IWZ3174),41.176866,-93.783317
DM - I-35 @ south of IA 5 (IWZ 3112_188),0.0,0.0
DM - I-35 @ south of IA 5 (IWZ 3112_189),0.0,0.0
DEC - IA 9 @ Old Stage Rd (IWZ 3172),43.288552,-91.755005
D5 - US 34 @ IA 5 (IWZ3169),41.015266,-92.809267
D5 - IA 22 @ IA 1 Kalona (IWZ3173),41.485716,-91.714097
D4 - I-680 @ MM 21.4 (IWZ3175),41.499222,-95.741248
D4 - I-680 @ MM 26.65 (IWZ 3176),41.498901,-95.640354
D3 - US 75 @ MM 114.3 (IWZ 3147),42.739147,-96.216036
D3 - US 75 @ MM 114.3 (IWZ 3147_SB),0.0,0.0
DM - I-35 @ MM 54.0 (IWZ 3108_208),0.0,0.0
AM - I-35 @ South of 260th St (IWZ 3159),41.974927,-93.569973
DM - I-35 @ Maffitt Lake Rd (73),41.519592,-93.774156
DM - I-35 @ Adams St (74),41.504913,-93.78085
DM - I-35 @ Cumming Ave (75),41.482969,-93.781085
DM - I-35 @ Fillmore St (76),41.432486,-93.780212
DM - I-35 @ Hoover St (77),41.388377,-93.7811
DM - I-35 @ IA 92 (78),41.36289,-93.77981
DM - I-35 @ McKinley St (79),41.322681,-93.780428
DM - I-35 @ Hwy G50 (80),41.293538,-93.77947
DEC - IA 9 @ Montgomery St  (IWZ 3135),43.291592,-91.768673
D1 - I-35 @ US 20 Williams (D1TV10),42.448772,-93.567858
D1 - I-35 @ IA 175 Ellsworth (D1TV09),42.309994,-93.56938
D1 - I-35 @ 300th St (D1TV11),42.355382,-93.570055
D1 - I-35 @ Williams DMS (D1TV02),42.410474,-93.570146
WL - US 63 @ Franklin St (IWZ 3164),42.503259,-92.337611
DM - IA 141 @ SE 19th St (91),41.673292,-93.774418
DM - IA 141 @ E 1st St (92),41.688078,-93.773959
DM - I-35 @ MM 55.6 (IWZ3141),41.346844,-93.778787
D4 - I-680 @ MM 20.2 (IWZ 3160),41.499206,-95.764508
